Date : 2025-02-12 01:17:48
Directory : /home/lukachikvaidze/projects/sheuketee
Total : 267 files,  30788 codes, 4682 comments, 1332 blanks, all 36802 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          8 |     17,596 |          0 |          6 |     17,602 |
| JavaScript JSX     |        101 |      9,894 |      3,039 |        678 |     13,611 |
| JavaScript         |         56 |      2,801 |      1,642 |        605 |      5,048 |
| XML                |         97 |        318 |          1 |          9 |        328 |
| CSS                |          3 |        148 |          0 |         21 |        169 |
| Markdown           |          1 |         20 |          0 |         13 |         33 |
| JSON with Comments |          1 |         11 |          0 |          0 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                        |        267 |     30,788 |      4,682 |      1,332 |     36,802 |
| . (Files)                                                                                                                                                                                                                                |          9 |      9,501 |          5 |         20 |      9,526 |
| src                                                                                                                                                                                                                                      |        258 |     21,287 |      4,677 |      1,312 |     27,276 |
| src (Files)                                                                                                                                                                                                                              |          5 |        152 |          3 |         18 |        173 |
| src/Components                                                                                                                                                                                                                           |         27 |      2,532 |          6 |         70 |      2,608 |
| src/Components (Files)                                                                                                                                                                                                                   |         20 |      2,030 |          6 |         62 |      2,098 |
| src/Components/errors                                                                                                                                                                                                                    |          1 |         12 |          0 |          1 |         13 |
| src/Components/header-comps                                                                                                                                                                                                              |          2 |        358 |          0 |          3 |        361 |
| src/Components/hirer-guide                                                                                                                                                                                                               |          4 |        132 |          0 |          4 |        136 |
| src/routes                                                                                                                                                                                                                               |        129 |     18,285 |      4,667 |      1,215 |     24,167 |
| src/routes (Files)                                                                                                                                                                                                                       |          5 |        156 |          0 |         12 |        168 |
| src/routes/account                                                                                                                                                                                                                       |          3 |        329 |          0 |         25 |        354 |
| src/routes/api                                                                                                                                                                                                                           |         45 |      2,548 |        933 |        510 |      3,991 |
| src/routes/api (Files)                                                                                                                                                                                                                   |          7 |        741 |        110 |        108 |        959 |
| src/routes/api/damkveti                                                                                                                                                                                                                  |          8 |          0 |        653 |         98 |        751 |
| src/routes/api/damkveti (Files)                                                                                                                                                                                                          |          4 |          0 |        588 |         80 |        668 |
| src/routes/api/damkveti/modify                                                                                                                                                                                                           |          3 |          0 |         34 |         10 |         44 |
| src/routes/api/damkveti/upload_profile_picture_setup                                                                                                                                                                                     |          1 |          0 |         31 |          8 |         39 |
| src/routes/api/password                                                                                                                                                                                                                  |          2 |         95 |          0 |         12 |        107 |
| src/routes/api/services                                                                                                                                                                                                                  |          2 |        245 |          0 |         38 |        283 |
| src/routes/api/tags                                                                                                                                                                                                                      |          1 |         18 |          6 |          7 |         31 |
| src/routes/api/utils                                                                                                                                                                                                                     |         13 |        354 |         65 |         77 |        496 |
| src/routes/api/utils (Files)                                                                                                                                                                                                             |          2 |         54 |          0 |          8 |         62 |
| src/routes/api/utils/errors                                                                                                                                                                                                              |          2 |         35 |          0 |          4 |         39 |
| src/routes/api/utils/ext_requests                                                                                                                                                                                                        |          3 |         49 |          0 |          7 |         56 |
